author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Деловой Квартал;developer;https://ekb.cian.ru/sale/flat/304227421/;Екатеринбург;sale;flat;4;25;3;88.28;13478034;Октябрьский;;;Ботаническая;Премиум Кварталы Маяковка ЖК
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/315149084/;Екатеринбург;sale;flat;3;9;3;64.0;6890000;; Щорса;130;Чкаловская;
Диал;real_estate_agent;https://ekb.cian.ru/sale/flat/310757062/;Екатеринбург;sale;flat;4;10;3;63.0;6650000;Чкаловский; Родонитовая;27;Ботаническая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516322/;Екатеринбург;sale;flat;2;28;3;74.7;14188500;Центр; Свердлова;10;Динамо;Екатерининский парк
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/313962375/;Екатеринбург;sale;flat;2;10;3;59.0;5900000;Железнодорожный; Ватутина;11;Уральская;
Гринвич;developer;https://ekb.cian.ru/sale/flat/315560267/;Екатеринбург;sale;flat;4;10;3;85.24;10900000;Кировский;;;Уральская;Теплые Кварталы ЖК
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517848/;Екатеринбург;sale;flat;3;31;3;82.7;9148500;Орджоникидзевский;;;Машиностроителей;Основинские кварталы ЖК
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/315390154/;Екатеринбург;sale;flat;5;26;3;93.5;9150000;; Соболева;19;Геологическая;
Принцип недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/312572912/;Екатеринбург;sale;flat;2;7;3;77.0;8000000;; Рябинина;25;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313518918/;Екатеринбург;sale;flat;5;18;3;104.8;15443000;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/314636229/;Екатеринбург;sale;flat;17;26;3;67.3;9200000;Кировский; Комсомольская;78;Площадь 1905 года;Микрорайон 
РЕПУТАЦИЯ;real_estate_agent;https://ekb.cian.ru/sale/flat/315964678/;Екатеринбург;sale;flat;6;9;3;63.8;7090000;Верх-Исетский; Черепанова;12;Уральская;
Брусника - Екатеринбург;developer;https://ekb.cian.ru/sale/flat/316043321/;Екатеринбург;sale;flat;1;17;3;95.8;9360000;Железнодорожный; Пехотинцев;2Д;Машиностроителей;Квартал Депо
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/311112678/;Екатеринбург;sale;flat;5;5;3;61.1;5900000;Кировский; Комсомольская;31А;Площадь 1905 года;
ID 30501273;homeowner;https://ekb.cian.ru/sale/flat/299296155/;Екатеринбург;sale;flat;5;15;3;110.1;60555000;Центр; Хохрякова;48;Геологическая;
Унистрой;developer;https://ekb.cian.ru/sale/flat/301540732/;Екатеринбург;sale;flat;14;17;3;122.4;24957000;; Цвиллинга;7/6;Чкаловская;Парковый квартал 2.0
М2;real_estate_agent;https://ekb.cian.ru/sale/flat/307632846/;Екатеринбург;sale;flat;14;14;3;72.1;7200000;Чкаловский; Патриса Лумумбы;36;Ботаническая;
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/307843228/;Екатеринбург;sale;flat;17;25;3;78.8;10700000;Кировский; Библиотечная;45;Площадь 1905 года;Микрорайон 
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516605/;Екатеринбург;sale;flat;2;7;3;72.8;8992800;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
ID 13079333;unknown;https://ekb.cian.ru/sale/flat/311964278/;Екатеринбург;sale;flat;6;10;3;128.5;65500000;Центр; Радищева;24;Геологическая;Форум Сити
ДОМОС КЛУБ;real_estate_agent;https://ekb.cian.ru/sale/flat/315342013/;Екатеринбург;sale;flat;3;9;3;60.4;6200000;Орджоникидзевский; Стахановская;29;Уралмаш;
Atlas Development;developer;https://ekb.cian.ru/sale/flat/300112498/;Екатеринбург;sale;flat;11;31;3;69.0;14603838;Октябрьский; Онежская;4;Ботаническая;4YOU
Макромир Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/316028033/;Екатеринбург;sale;flat;7;10;3;63.2;10700000;Верх-Исетский; Готвальда;23к1;Уральская;
М2;real_estate_agent;https://ekb.cian.ru/sale/flat/312965139/;Екатеринбург;sale;flat;5;6;3;71.0;6990000;Центр;проспект Ленина;52к4;Площадь 1905 года;
ID 129347738;developer;https://ekb.cian.ru/sale/flat/315552746/;Екатеринбург;sale;flat;2;9;3;72.1;8518541;Чкаловский;;;Ботаническая;Жилой район Солнечный
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/303697170/;Екатеринбург;sale;flat;4;25;3;98.2;19900000;Верх-Исетский; Мельникова;27;Площадь 1905 года;
ID 129785099;realtor;https://ekb.cian.ru/sale/flat/316064590/;Екатеринбург;sale;flat;3;9;3;63.0;6399000;Кировский; Сыромолотова;7;;
Брусника - Екатеринбург;developer;https://ekb.cian.ru/sale/flat/315695416/;Екатеринбург;sale;flat;1;9;3;150.45;18250000;Орджоникидзевский;переулок Механический;11;Проспект Космонавтов;Северный квартал
BAZA Development;representative_developer;https://ekb.cian.ru/sale/flat/315488157/;Екатеринбург;sale;flat;9;29;3;76.14;14967607;; Шаумяна;11;Чкаловская;Дом 
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/314037359/;Екатеринбург;sale;flat;7;33;3;73.83;12500000;Октябрьский;тракт Сибирский;24А;Геологическая;Сибирский сад
Корпорация Маяк;developer;https://ekb.cian.ru/sale/flat/303777098/;Екатеринбург;sale;flat;2;17;3;98.1;20366000;Октябрьский; Декабристов;20;Геологическая;Архитектон
М2;real_estate_agent;https://ekb.cian.ru/sale/flat/314031079/;Екатеринбург;sale;flat;12;17;3;94.0;14500000;Кировский; Советская;44;Динамо;
ACONS GROUP;developer;https://ekb.cian.ru/sale/flat/306317457/;Екатеринбург;sale;flat;7;30;3;117.4;23626000;; Машинная;1в/2;Чкаловская;Clever park
Форум-групп;developer;https://ekb.cian.ru/sale/flat/310850510/;Екатеринбург;sale;flat;17;31;3;63.12;10285050;Верх-Исетский;Юго-Западный жилрайон;2;Геологическая;ПаркЛайф ЖК
ID 43040728;homeowner;https://ekb.cian.ru/sale/flat/312747952/;Екатеринбург;sale;flat;9;11;3;176.0;21500000;Октябрьский; Мичурина;239;Геологическая;
45-й Квартал;developer;https://ekb.cian.ru/sale/flat/316116162/;Екатеринбург;sale;flat;2;4;3;73.79;10330600;Ленинский;;;Чкаловская;Твоя Привилегия ЖК
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/312466342/;Екатеринбург;sale;flat;9;11;3;109.0;22499000;Октябрьский; Декабристов;20;Геологическая;Архитектон
Унистрой;developer;https://ekb.cian.ru/sale/flat/313109869/;Екатеринбург;sale;flat;19;27;3;76.8;12116000;Верх-Исетский;;;Площадь 1905 года;Риверсайд ЖК
ID 99531817;homeowner;https://ekb.cian.ru/sale/flat/309491954/;Екатеринбург;sale;flat;4;24;3;77.0;25000000;Кировский; Мира;47/7;Площадь 1905 года;Проспект Мира. Компаунд
Брусника - Екатеринбург;developer;https://ekb.cian.ru/sale/flat/311914617/;Екатеринбург;sale;flat;2;9;3;83.65;12850000;;;;Ботаническая;Брусника в Академическом ЖК
Принцип недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/310606016/;Екатеринбург;sale;flat;2;7;3;96.5;29915000;Центр;Центральный жилрайон;;Площадь 1905 года;Ленина 8
Унистрой;developer;https://ekb.cian.ru/sale/flat/301540737/;Екатеринбург;sale;flat;4;17;3;78.1;15083000;; Цвиллинга;7/6;Чкаловская;Парковый квартал 2.0
Принцип недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/310623700/;Екатеринбург;sale;flat;12;28;3;110.5;38454000;Центр; Попова;18;Площадь 1905 года;Ленина 8
РСГ-Академическое;developer;https://ekb.cian.ru/sale/flat/315848351/;Екатеринбург;sale;flat;7;12;3;64.2;10246543;; Академика Ландау;35;Чкаловская;Спутник-1
РСГ-Академическое;developer;https://ekb.cian.ru/sale/flat/315391820/;Екатеринбург;sale;flat;8;22;3;61.82;9236000;; Краснолесья;94с2;Чкаловская;Первый Академ
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/308243460/;Екатеринбург;sale;flat;8;9;3;59.1;4800000;Железнодорожный; Автомагистральная;31;Уралмаш;
СЗ Да на Амундсена;developer;https://ekb.cian.ru/sale/flat/308158104/;Екатеринбург;sale;flat;11;31;3;81.3;13206860;Ленинский;;;Чкаловская;ДА на Амундсена ЖК
Арбат;real_estate_agent;https://ekb.cian.ru/sale/flat/315397255/;Екатеринбург;sale;flat;5;5;3;56.1;4900000;Орджоникидзевский; Машиностроителей;31;Уралмаш;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516499/;Екатеринбург;sale;flat;1;25;3;86.6;12461850;Чкаловский; 8 Марта;204Д;Чкаловская;Ботаника LIFE
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/298262430/;Екатеринбург;sale;flat;2;3;3;77.4;5200000;Орджоникидзевский; Индустрии;41;Проспект Космонавтов;
Партнер;developer;https://ekb.cian.ru/sale/flat/308985369/;Екатеринбург;sale;flat;3;4;3;84.1;9380000;Чкаловский;;;Ботаническая;Совушки ЖК
Самолет Плюс Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/307953939/;Екатеринбург;sale;flat;4;9;3;57.7;5300000;Железнодорожный; Автомагистральная;19;Машиностроителей;
