author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/313072984/;Санкт-Петербург;sale;flat;7;7;4;240.7;349015000;Центральный;набережная Воскресенская;32;Площадь Ленина;Приоритет
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/315157368/;Санкт-Петербург;sale;flat;2;6;4;74.8;16700000;Василеостровский;9-я Васильевского острова линия;72В;Василеостровская;
Твой ДОМ;real_estate_agent;https://spb.cian.ru/sale/flat/313915741/;Санкт-Петербург;sale;flat;6;17;4;124.2;11927000;Кировский;проспект Маршала Жукова;20;Автово;
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/313478979/;Санкт-Петербург;sale;flat;4;9;4;139.75;70850000;Петроградский; Малая Зеленина;4;Чкаловская;Квадрия
М16 Элит;real_estate_agent;https://spb.cian.ru/sale/flat/306123739/;Санкт-Петербург;sale;flat;5;6;4;160.0;160000000;Петроградский;Спортивная ;2;Крестовский остров;Крестовский de luxe
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/313947221/;Санкт-Петербург;sale;flat;2;5;4;74.0;15900000;Адмиралтейский; Декабристов;62-64;Сенная площадь;
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/312896036/;Санкт-Петербург;sale;flat;8;9;4;135.43;93666060;Приморский;набережная Черной речки;35;Черная речка;Черная речка, 41
ID 103830218;homeowner;https://spb.cian.ru/sale/flat/315395255/;Санкт-Петербург;sale;flat;6;8;4;129.56;120000000;Петроградский;Петровский проспект;26к2;Крестовский остров;The One
Панорама;real_estate_agent;https://spb.cian.ru/sale/flat/310694077/;Санкт-Петербург;sale;flat;5;6;4;69.2;11950000;Центральный;8-я Советская ;34;Площадь Восстания;
ПИК;developer;https://spb.cian.ru/sale/flat/299992314/;Санкт-Петербург;sale;flat;9;9;4;119.8;60103660;Адмиралтейский;Измайловское;к 2.1;Балтийская;Лермонтовский 54 ЖК
ПАН;real_estate_agent;https://spb.cian.ru/sale/flat/316071996/;Санкт-Петербург;sale;flat;5;5;4;81.56;16700000;Петроградский; Блохина;3/1;Спортивная;
Zебра;real_estate_agent;https://spb.cian.ru/sale/flat/316117115/;Санкт-Петербург;sale;flat;5;6;4;97.6;15600000;Приморский;Лисичанская ;8;Черная речка;
AAG;developer;https://spb.cian.ru/sale/flat/313648134/;Санкт-Петербург;sale;flat;3;9;4;124.2;83862867;Петроградский;Пионерская ;53;Чкаловская;Avant
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/307484511/;Санкт-Петербург;sale;flat;1;5;4;163.0;129500000;Петроградский;набережная Мартынова;74Г;Крестовский остров;
Загородный стиль;real_estate_agent;https://spb.cian.ru/sale/flat/316109451/;Санкт-Петербург;sale;flat;4;5;4;48.9;6200000;Московский;Краснопутиловская ;99;Московская;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/312633703/;Санкт-Петербург;sale;flat;7;8;4;120.7;108630000;Петроградский;набережная Реки Карповки;31к1;Петроградская;Северная Корона
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308209934/;Санкт-Петербург;sale;flat;8;8;4;117.6;49392000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
RBG Недвижимость  Realty Broker Group;real_estate_agent;https://spb.cian.ru/sale/flat/304929940/;Санкт-Петербург;sale;flat;3;7;4;79.2;13100000;Центральный;Кирилловская ;18;Площадь Александра Невского;
Красная Стрела;developer;https://spb.cian.ru/sale/flat/303021712/;Санкт-Петербург;sale;flat;8;9;4;110.25;49901234;Василеостровский;7-я Васильевского острова линия;84;Василеостровская;Регенбоген
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/314115451/;Санкт-Петербург;sale;flat;3;9;4;181.1;120000000;Петроградский; Рюхина;10;Крестовский остров;
Надежда Зуева;realtor;https://spb.cian.ru/sale/flat/314038949/;Санкт-Петербург;sale;flat;2;7;4;109.3;17900000;Василеостровский;проспект Средний Васильевского острова;11;Спортивная;
RBI;developer;https://spb.cian.ru/sale/flat/310581408/;Санкт-Петербург;sale;flat;23;23;4;124.0;34277828;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/314211854/;Санкт-Петербург;sale;flat;6;9;4;202.7;273120000;Петроградский;Вязовая ;8;Чкаловская;Привилегия
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;real_estate_agent;https://spb.cian.ru/sale/flat/309613305/;Санкт-Петербург;sale;flat;4;12;4;95.0;16500000;Приморский; Уточкина;2К1;Комендантский проспект;
GloraX;developer;https://spb.cian.ru/sale/flat/301127641/;Санкт-Петербург;sale;flat;14;14;4;96.9;28767141;Красногвардейский;проспект Энергетиков;2к1;;GloraX Заневский
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/310278929/;Санкт-Петербург;sale;flat;9;10;4;245.9;300000000;Петроградский;Ждановская ;45;Чкаловская;Леонтьевский мыс
ДомИн;real_estate_agent;https://spb.cian.ru/sale/flat/313283279/;Санкт-Петербург;sale;flat;6;9;4;89.5;16490000;Красногвардейский;Большеохтинский проспект;1К1;Новочеркасская;
AAG;developer;https://spb.cian.ru/sale/flat/308563420/;Санкт-Петербург;sale;flat;6;7;4;213.2;172110191;Василеостровский;12-я Васильевского острова линия;41к2;Василеостровская;Amo
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312293923/;Санкт-Петербург;sale;flat;3;16;4;109.49;28007542;Василеостровский;Гавань;;Приморская;Морская Набережная ЖК
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/310946397/;Санкт-Петербург;sale;flat;4;9;4;232.0;280000000;Центральный;набережная Реки Фонтанки;76к2;Звенигородская;Фонтанка 76
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/293263674/;Санкт-Петербург;sale;flat;2;9;4;134.1;56322000;Центральный;проспект Бакунина;33;Площадь Александра Невского;Bakunina 33
Винтеко;developer;https://spb.cian.ru/sale/flat/290200438/;Санкт-Петербург;sale;flat;2;7;4;159.3;80981559;Василеостровский;13-я Васильевского острова линия;50;Василеостровская;Клубный дом Манхэттен
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/297403314/;Санкт-Петербург;sale;flat;2;4;4;443.0;370000000;Петроградский;Чкаловское;5;Крестовский остров;
GloraX;developer;https://spb.cian.ru/sale/flat/309036734/;Санкт-Петербург;sale;flat;18;18;4;111.8;36659999;Василеостровский;проспект Крузенштерна;13;;GloraX Василеостровский
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/302078612/;Санкт-Петербург;sale;flat;6;7;4;120.03;72378090;Василеостровский;;;Горный институт;Империал Клаб ЖК
Ринкон;real_estate_agent;https://spb.cian.ru/sale/flat/311158760/;Санкт-Петербург;sale;flat;2;5;4;96.3;19300000;Адмиралтейский;Галерная ;77;Василеостровская;
ФСК;developer;https://spb.cian.ru/sale/flat/315713740/;Санкт-Петербург;sale;flat;2;17;4;108.76;14152938;Невский; Архивная;5;Новочеркасская;Апартаменты Zoom на Неве
Мир Квартир PREMIUM;real_estate_agent;https://spb.cian.ru/sale/flat/296401388/;Санкт-Петербург;sale;flat;3;3;4;106.0;24990000;Василеостровский;Кадетская линия;17;Спортивная;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/305598488/;Санкт-Петербург;sale;flat;2;10;4;112.6;33948900;Выборгский;Манчестерская ;3;Удельная;Svetlana Park
ID 58387287;homeowner;https://spb.cian.ru/sale/flat/315561501/;Санкт-Петербург;sale;flat;4;8;4;132.0;78800000;Петроградский;Петровский проспект;24к2;Крестовский остров;Петровский квартал на воде
Прагма;developer;https://spb.cian.ru/sale/flat/303270565/;Санкт-Петербург;sale;flat;6;23;4;104.4;19672182;Выборгский;Парнас;;Парнас;Прагма city
Active Unity;real_estate_agent;https://spb.cian.ru/sale/flat/312962482/;Санкт-Петербург;sale;flat;5;10;4;143.1;99480000;Петроградский;Ждановская ;45;Спортивная;Леонтьевский мыс
БФА-Девелопмент;developer;https://spb.cian.ru/sale/flat/314751230/;Санкт-Петербург;sale;flat;4;24;4;98.52;21208000;Красносельский;Южно-Приморский;;Автово;Огни Залива ЖК
ДомИн;real_estate_agent;https://spb.cian.ru/sale/flat/310724678/;Санкт-Петербург;sale;flat;1;5;4;49.3;6700000;Кировский; Танкиста Хрустицкого;17;Проспект Ветеранов;
Главстрой;developer;https://spb.cian.ru/sale/flat/313107423/;Санкт-Петербург;sale;flat;2;27;4;112.4;19807690;Выборгский;проезд Толубеевский;36к2;Проспект Просвещения;Северная долина
Экотон;real_estate_agent;https://spb.cian.ru/sale/flat/314159786/;Санкт-Петербург;sale;flat;11;14;4;74.6;11950000;Невский;Шлиссельбургский проспект;41;Рыбацкое;
КВС;developer;https://spb.cian.ru/sale/flat/303058668/;Санкт-Петербург;sale;flat;4;4;4;108.33;22762750;Петродворцовый;м. Ленинский проспект;;Ленинский проспект;Любоград ЖК
ПАН Партнер;real_estate_agent;https://spb.cian.ru/sale/flat/315202751/;Санкт-Петербург;sale;flat;1;5;4;79.0;12400000;Красносельский; Партизана Германа;15К1;Проспект Ветеранов;
Мегалит–Охта Групп;developer;https://spb.cian.ru/sale/flat/314905800/;Санкт-Петербург;sale;flat;15;25;4;117.87;29582867;Приморский;Коломяжский проспект;13к2;Пионерская;Приморский квартал
КВС;developer;https://spb.cian.ru/sale/flat/315258082/;Санкт-Петербург;sale;flat;9;10;4;126.82;53932500;Фрунзенский;Курская ;27;Обводный канал;Дом на Курской
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/315395094/;Санкт-Петербург;sale;flat;4;6;4;81.5;17400000;Василеостровский;18-я Васильевского острова линия;25;Горный институт;
КВС;developer;https://spb.cian.ru/sale/flat/298151270/;Санкт-Петербург;sale;flat;5;17;4;104.86;29965793;Калининский;Финляндский;;;Квартал бизнес-класса Б15
Самолет Плюс СПБ Приморский;real_estate_agent;https://spb.cian.ru/sale/flat/315340681/;Санкт-Петербург;sale;flat;4;4;4;107.0;22500000;Курортный; Всеволода Боброва;33;Беговая;Петербургское Садовое кольцо
ТРЕНД Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/316082524/;Санкт-Петербург;sale;flat;9;9;4;73.5;9100000;Красногвардейский;Ленская ;1К1;Проспект Большевиков;
