author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056968/;Москва;sale;flat;12;19;2;63.3;14892169;;;9-я фаза;Филатов Луг;Первый Московский ЖК
А101;developer;https://www.cian.ru/sale/flat/315375755/;Москва;sale;flat;7;9;2;40.6;14899794;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/315218881/;Москва;sale;flat;18;24;2;48.7;14883207;;;3.1;Новомосковская;Дзен-кварталы ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/311785935/;Москва;sale;flat;5;25;2;59.9;;;;;Румянцево;1-й Саларьевский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/306642280/;Москва;sale;flat;1;17;2;57.0;14878197;;;;Мичуринец;Переделкино Ближнее Город-парк
ID 129357358;developer;https://www.cian.ru/sale/flat/315564005/;Москва;sale;flat;5;7;2;60.4;14800000;;;;Прокшино;Новое Летово ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313745579/;Москва;sale;flat;13;26;2;52.8;14921280;Гольяново;;1.5;Черкизовская;2-й Иртышский ЖК
Юникей;developer;https://www.cian.ru/sale/flat/316150103/;Москва;sale;flat;4;30;2;62.1;14882265;;;;Потапово;Новые Смыслы ЖК
А101;developer;https://www.cian.ru/sale/flat/315219817/;Москва;sale;flat;14;17;2;47.1;14824254;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
Кира Разумова;realtor;https://www.cian.ru/sale/flat/315469860/;Москва;sale;flat;3;39;2;43.0;14900000;Гольяново;Амурская ;1Ак5;Черкизовская;Level Амурская
1-й ДСК;developer;https://www.cian.ru/sale/flat/315511782/;Москва;sale;flat;12;18;2;59.8;;;;2;Корниловская;1-й Ясеневский ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/311878399/;Москва;sale;flat;18;18;2;48.4;;;;;Корниловская;1-й Ясеневский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/315526174/;Москва;sale;flat;14;18;2;59.4;14807707;;;;Филатов Луг;Саларьево парк
Колди;developer;https://www.cian.ru/sale/flat/313967169/;Москва;sale;flat;4;21;2;49.45;14825604;Нижегородский;;;Калитники;Н'айс Лофт ЖК
А101;developer;https://www.cian.ru/sale/flat/315218712/;Москва;sale;flat;14;14;2;39.8;14913458;;;3.4;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/315218758/;Москва;sale;flat;9;9;2;54.3;14917839;;;3.2;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/315218753/;Москва;sale;flat;9;9;2;51.4;14919878;;;3.2;Новомосковская;Дзен-кварталы ЖК
