author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/315886501/;Екатеринбург;sale;flat;3;18;2;53.0;6799999;Верх-Исетский; Металлургов;63;Геологическая;Новый ВИЗ
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/314434273/;Екатеринбург;sale;flat;3;15;2;46.8;5970000;; Академика Парина;41/2;Геологическая;Eleven
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516571/;Екатеринбург;sale;flat;17;21;2;55.5;8295300;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399204/;Екатеринбург;sale;flat;4;5;2;41.0;5750000;Центр; Сакко и Ванцетти;111А;Геологическая;
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/311301743/;Екатеринбург;sale;flat;1;9;2;48.0;4140000;Октябрьский; Латвийская;37;Геологическая;
Гринвич;representative_developer;https://ekb.cian.ru/sale/flat/313587046/;Екатеринбург;sale;flat;5;17;2;60.6;10938300;Ленинский; Шаумяна;30;Чкаловская;Южные кварталы
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399201/;Екатеринбург;sale;flat;4;5;2;43.5;4600000;Чкаловский; Братская;13;Ботаническая;
Ориентир. Недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/314712628/;Екатеринбург;sale;flat;5;5;2;44.0;3600000;Октябрьский; Белоярская;14;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517271/;Екатеринбург;sale;flat;3;16;2;78.1;31562000;Центр; Февральской Революции;21;Динамо;19/05
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/305293480/;Екатеринбург;sale;flat;8;13;2;56.0;6400000;Железнодорожный; Пехотинцев;3к4;Уралмаш;
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/314610112/;Екатеринбург;sale;flat;5;5;2;52.6;13760000;Центр; 8 Марта;7;Площадь 1905 года;
СКМ Девелопмент;developer;https://ekb.cian.ru/sale/flat/306995618/;Екатеринбург;sale;flat;3;15;2;68.41;11360000;Верх-Исетский; Викулова;41Б;Площадь 1905 года;Дом Викулов
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/312658007/;Екатеринбург;sale;flat;19;25;2;51.5;5950000;Октябрьский; Латвийская;56/3;Геологическая;Хрустальные Ключи
Свои Люди;real_estate_agent;https://ekb.cian.ru/sale/flat/308157055/;Екатеринбург;sale;flat;2;2;2;55.2;1699000;Верх-Исетский;Огнеупорщик-Северный СНТ;2-72;;
СЗ Да на Амундсена;developer;https://ekb.cian.ru/sale/flat/308158215/;Екатеринбург;sale;flat;24;31;2;52.7;9565050;Ленинский;;;Чкаловская;ДА на Амундсена ЖК
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399275/;Екатеринбург;sale;flat;3;9;2;60.6;6750000;Октябрьский; Куйбышева;108;Геологическая;
ID 127777755;homeowner;https://ekb.cian.ru/sale/flat/313724667/;Екатеринбург;sale;flat;2;9;2;36.5;3950000;Орджоникидзевский; Краснофлотцев;6А;Уралмаш;
Atlas Development;developer;https://ekb.cian.ru/sale/flat/296452063/;Екатеринбург;sale;flat;20;20;2;110.4;18322600;Октябрьский; Онежская;4;Ботаническая;4YOU
Самолет Плюс - Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315962964/;Екатеринбург;sale;flat;5;22;2;45.9;7400000;; Академика Ландау;32;Чкаловская;Пушкин
Андрей Токмаков;realtor;https://ekb.cian.ru/sale/flat/312992726/;Екатеринбург;sale;flat;1;2;2;44.0;2000000;Октябрьский;переулок Зерновой;4;Геологическая;
Форум-групп;developer;https://ekb.cian.ru/sale/flat/315829183/;Екатеринбург;sale;flat;8;31;2;54.18;8956441;Верх-Исетский;Юго-Западный жилрайон;2;Геологическая;ПаркЛайф ЖК
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315399353/;Екатеринбург;sale;flat;4;26;2;96.85;23450000;Центр; Радищева;41/2;Геологическая;
