author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Деловой Квартал;developer;https://ekb.cian.ru/sale/flat/302687429/;Екатеринбург;sale;flat;2;25;1;41.08;7533195;Октябрьский;;;Ботаническая;Премиум Кварталы Маяковка ЖК
НОВОСЁЛ;real_estate_agent;https://ekb.cian.ru/sale/flat/314787731/;Екатеринбург;sale;flat;2;9;1;36.0;3849000;Орджоникидзевский;переулок Замятина;20;Проспект Космонавтов;
Форум-групп;developer;https://ekb.cian.ru/sale/flat/315590737/;Екатеринбург;sale;flat;3;16;1;51.12;16672063;Центр; Тверитина;60А;Геологическая;Александровский сад
Принцип недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/314036930/;Екатеринбург;sale;flat;4;5;1;37.9;4100000;Орджоникидзевский;переулок Суворовский;19;Уралмаш;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/314122168/;Екатеринбург;sale;flat;8;28;1;36.4;8954000;Центр; Свердлова;10;Динамо;Екатерининский парк
ID 25389910;homeowner;https://ekb.cian.ru/sale/flat/283403411/;Екатеринбург;sale;flat;5;12;1;43.11;4850000;; Анатолия Муранова;10;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313518897/;Екатеринбург;sale;flat;6;18;1;34.0;6010000;Верх-Исетский;;;Площадь 1905 года;Русь XXI ЖК
ID 73223239;homeowner;https://ekb.cian.ru/sale/flat/315483738/;Екатеринбург;sale;flat;6;16;1;36.0;4790000;Ленинский; Начдива Онуфриева;14;Чкаловская;
УГМК-Застройщик;developer;https://ekb.cian.ru/sale/flat/310223295/;Екатеринбург;sale;flat;2;28;1;52.9;11677000;Верх-Исетский;;;Площадь 1905 года;Нагорный
АЗБУКА НЕДВИЖИМОСТИ;real_estate_agent;https://ekb.cian.ru/sale/flat/310314263/;Екатеринбург;sale;flat;5;14;1;32.6;4599000;Верх-Исетский; Викулова;48;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/315271191/;Екатеринбург;sale;flat;29;31;1;31.7;5655600;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/315490019/;Екатеринбург;sale;flat;9;16;1;41.0;6190000;ЖК «Кварталы Форум Групп ( Солнечный)»Ботаническая13 минут на транспортеСвердловская область;бульвар Золотистый;11;Ботаническая;Кварталы Форум Групп (р-н Солнечный)
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313518148/;Екатеринбург;sale;flat;6;23;1;35.8;5354100;Кировский;;;Машиностроителей;Основинские кварталы ЖК
ID 116448180;homeowner;https://ekb.cian.ru/sale/flat/316047698/;Екатеринбург;sale;flat;1;18;1;42.4;7000000;Ленинский; М.Н. Михеева;2;Чкаловская;Балтийский
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517316/;Екатеринбург;sale;flat;2;16;1;55.9;22106000;Центр; Февральской Революции;21;Динамо;19/05
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/315304751/;Екатеринбург;sale;flat;4;5;1;31.8;3500000;Орджоникидзевский; Машиностроителей;79;Уралмаш;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/297114632/;Екатеринбург;sale;flat;4;24;1;30.7;7582000;Кировский; Мира;47/7;Геологическая;Проспект Мира. Компаунд
Уютвиль;real_estate_agent;https://ekb.cian.ru/sale/flat/309708779/;Екатеринбург;sale;flat;5;5;1;30.2;4199000;Кировский; Уральская;52/2;Уральская;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313516884/;Екатеринбург;sale;flat;9;19;1;30.9;6912000;Орджоникидзевский; Учителей;33;Машиностроителей;Основинские кварталы
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/307152704/;Екатеринбург;sale;flat;6;10;1;32.4;4550000;Чкаловский; Ляпустина;6;Ботаническая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517831/;Екатеринбург;sale;flat;3;9;1;55.0;18788500;Центр; Михаила Ананьева;;Динамо;Клубный дом инженера Ятеса
ID 128994608;homeowner;https://ekb.cian.ru/sale/flat/315791912/;Екатеринбург;sale;flat;11;12;1;45.4;4550000;Железнодорожный; Пехотинцев;3к4;Уралмаш;
BAZA Development;developer;https://ekb.cian.ru/sale/flat/315488038/;Екатеринбург;sale;flat;16;25;1;30.72;6138033;Октябрьский;;;Геологическая;ДНК: Дом на Куйбышева ЖК
ID 129673768;homeowner;https://ekb.cian.ru/sale/flat/315930807/;Екатеринбург;sale;flat;20;24;1;39.5;4760000;;проспект Академика Сахарова;64;Чкаловская;
ГК Икар;developer;https://ekb.cian.ru/sale/flat/315405054/;Екатеринбург;sale;flat;9;10;1;37.6;5836000;;;6;Чкаловская;First
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/310467669/;Екатеринбург;sale;flat;16;16;1;39.3;4800000;Чкаловский; Дорожная;13;Ботаническая;
BAZA Development;representative_developer;https://ekb.cian.ru/sale/flat/315488212/;Екатеринбург;sale;flat;2;29;1;41.72;9445427;; Шаумяна;11;Чкаловская;Дом 
ID 20795774;realtor;https://ekb.cian.ru/sale/flat/312535901/;Екатеринбург;sale;flat;6;15;1;33.3;4900000;Кировский; 40-летия Комсомола;35/3;Ботаническая;Малахит
Брусника - Екатеринбург;developer;https://ekb.cian.ru/sale/flat/306484036/;Екатеринбург;sale;flat;14;17;1;57.1;7160000;Железнодорожный; Пехотинцев;2Д;Уральская;Квартал Депо
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/314435632/;Екатеринбург;sale;flat;11;12;1;35.5;5100000;Октябрьский; Большакова;22к1;Геологическая;
Корпорация Маяк;developer;https://ekb.cian.ru/sale/flat/304157513/;Екатеринбург;sale;flat;9;17;1;49.75;12346582;Октябрьский; Декабристов;20;Геологическая;Архитектон
