author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://spb.cian.ru/sale/flat/311120847/;Санкт-Петербург;sale;flat;2;9;2;53.6;19746240;Адмиралтейский;Измайловское;к 2.2;Балтийская;Лермонтовский 54 ЖК
Сити-Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/314509988/;Санкт-Петербург;sale;flat;5;9;2;70.1;33000000;Петроградский;Петровский проспект;24к3;Крестовский остров;Петровская ривьера
ID 122506626;homeowner;https://spb.cian.ru/sale/flat/314450523/;Санкт-Петербург;sale;flat;5;5;2;44.2;5990000;Московский;Кубинская ;24;Парк Победы;
ФСК;developer;https://spb.cian.ru/sale/flat/303968234/;Санкт-Петербург;sale;flat;9;11;2;45.37;7336329;Невский; Архивная;5;Новочеркасская;Апартаменты Zoom на Неве
House Estate;real_estate_agent;https://spb.cian.ru/sale/flat/307440952/;Санкт-Петербург;sale;flat;3;5;2;67.2;26000000;Петроградский;Зверинская ;7-9;Спортивная;
Агентство недвижимости Виктории Бердышевой;real_estate_agent;https://spb.cian.ru/sale/flat/315287583/;Санкт-Петербург;sale;flat;5;5;2;44.0;7499000;Выборгский;Светлановский проспект;29;Пионерская;
Vertical Московская;representative_developer;https://spb.cian.ru/sale/flat/314133412/;Санкт-Петербург;sale;flat;9;14;2;29.5;8588061;Выборгский;Большой Сампсониевский проспект;74к2;Лесная;Апарт-отель Vertical Лесная
Квадратный метр;real_estate_agent;https://spb.cian.ru/sale/flat/315968962/;Санкт-Петербург;sale;flat;19;27;2;56.7;12990000;Приморский;Комендантский проспект;71;Комендантский проспект;Чистое небо
Цветной Бульвар;real_estate_agent;https://spb.cian.ru/sale/flat/314934206/;Санкт-Петербург;sale;flat;7;25;2;38.0;7400000;Невский;Октябрьская набережная ЖК;;Ломоносовская;Октябрьская набережная ЖК
RBI;developer;https://spb.cian.ru/sale/flat/309001134/;Санкт-Петербург;sale;flat;3;9;2;76.4;35500000;Центральный;Лиговка-Ямская;;Площадь Восстания;Миръ
Петр Богатырев;realtor;https://spb.cian.ru/sale/flat/314203835/;Санкт-Петербург;sale;flat;5;5;2;65.0;15490000;Петроградский;проспект Большой Петроградской стороны;3;Спортивная;
ID 98290552;homeowner;https://spb.cian.ru/sale/flat/316027825/;Санкт-Петербург;sale;flat;6;9;2;48.8;11500000;Калининский;Кондратьевский проспект;83К1;Лесная;
ГК Стоун;representative_developer;https://spb.cian.ru/sale/flat/314009432/;Санкт-Петербург;sale;flat;3;9;2;46.4;6030600;Пушкинский;Московское шоссе;256к5;Шушары;Вариант
ID 80865748;unknown;https://spb.cian.ru/sale/flat/316128902/;Санкт-Петербург;sale;flat;10;11;2;66.3;18710000;Василеостровский;проспект Средний Васильевского острова;87к3;Горный институт;Клубные апартаменты Next
Домината;real_estate_agent;https://spb.cian.ru/sale/flat/316110205/;Санкт-Петербург;sale;flat;5;9;2;63.4;9500000;Приморский;Афонская ;24К1;Озерки;
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/306971650/;Санкт-Петербург;sale;flat;5;9;2;82.3;31274000;Петроградский; Чапаева;17к2;Горьковская;Мануфактура James Beck
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308159954/;Санкт-Петербург;sale;flat;5;8;2;41.4;17388000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
ГК Стоун;representative_developer;https://spb.cian.ru/sale/flat/307260102/;Санкт-Петербург;sale;flat;4;9;2;47.9;6128300;Пушкинский;Московское шоссе;256к5;Шушары;Вариант
"СЗ ""М115""";developer;https://spb.cian.ru/sale/flat/309528779/;Санкт-Петербург;sale;flat;4;10;2;42.4;15900000;Московский;Московский проспект;115В;Московские ворота;Апарт-отель МОСКО
Ритм Эстейт;real_estate_agent;https://spb.cian.ru/sale/flat/313923067/;Санкт-Петербург;sale;flat;5;9;2;65.3;22500000;Центральный;Кременчугская ;9К1;Площадь Александра Невского;Царская столица
Адмирал;real_estate_agent;https://spb.cian.ru/sale/flat/315670465/;Санкт-Петербург;sale;flat;6;9;2;46.0;5997000;Выборгский; Жени Егоровой;5К1;Проспект Просвещения;
ID 129507563;developer;https://spb.cian.ru/sale/flat/316094239/;Санкт-Петербург;sale;flat;5;10;2;63.24;19604400;Василеостровский;Кожевенная линия;;Горный институт;LEGENDA Васильевского
Вам к нам;real_estate_agent;https://spb.cian.ru/sale/flat/309853521/;Санкт-Петербург;sale;flat;3;21;2;66.8;16000000;Выборгский;Железнодорожный переулок;12;Пионерская;Золотая середина
Инга Морозовская;realtor;https://spb.cian.ru/sale/flat/316054048/;Санкт-Петербург;sale;flat;6;10;2;43.6;6600000;Пушкинский; Изборская;1к1;Шушары;Славянка
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/316096629/;Санкт-Петербург;sale;flat;4;17;2;53.31;16014324;Василеостровский;Морской;;Приморская;Новая Земля ЖК
Престиж;real_estate_agent;https://spb.cian.ru/sale/flat/314479208/;Санкт-Петербург;sale;flat;3;12;2;60.1;14800000;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;Modum
СМИРНОВ и К;real_estate_agent;https://spb.cian.ru/sale/flat/298751727/;Санкт-Петербург;sale;flat;1;3;2;62.4;11300000;Центральный;набережная Реки Фонтанки;43;Гостиный двор;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312733423/;Санкт-Петербург;sale;flat;11;15;2;56.4;17546040;Василеостровский;проспект Крузенштерна;;Приморская;Морская набережная
AAG;developer;https://spb.cian.ru/sale/flat/303634475/;Санкт-Петербург;sale;flat;3;9;2;52.51;37609370;Петроградский;Пионерская ;53;Чкаловская;Avant
Престиж;real_estate_agent;https://spb.cian.ru/sale/flat/307044581/;Санкт-Петербург;sale;flat;11;12;2;85.7;22700000;Приморский;проспект Авиаконструкторов;54с1;Комендантский проспект;Modum
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/305409646/;Санкт-Петербург;sale;flat;2;10;2;66.29;24328430;Выборгский;Сампсониевское;;Выборгская;Сампсониевский 32
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/307659959/;Санкт-Петербург;sale;flat;2;10;2;46.7;15056080;Приморский;Фермское шоссе;12Б;Удельная;
AAG;developer;https://spb.cian.ru/sale/flat/310272339/;Санкт-Петербург;sale;flat;4;7;2;50.8;30770861;Василеостровский;12-я Васильевского острова линия;41к2;Василеостровская;Amo
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/304203808/;Санкт-Петербург;sale;flat;7;10;2;64.1;22665760;Приморский;Фермское шоссе;12Б;Удельная;
