author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
BAZA Development;developer;https://ekb.cian.ru/sale/flat/315488060/;Екатеринбург;sale;flat;19;25;4;77.78;12513713;Октябрьский;;;Геологическая;ДНК: Дом на Куйбышева ЖК
Новосёл;real_estate_agent;https://ekb.cian.ru/sale/flat/310778035/;Екатеринбург;sale;flat;5;9;4;64.0;7350000;Кировский; Блюхера;55А;Динамо;
ЛУЧШИЕ ГОДЫ;real_estate_agent;https://ekb.cian.ru/sale/flat/312973940/;Екатеринбург;sale;flat;5;6;4;98.9;6999000;Центр;проспект Ленина;54к1;Площадь 1905 года;
ACONS GROUP;developer;https://ekb.cian.ru/sale/flat/306317400/;Екатеринбург;sale;flat;2;16;4;171.0;35845000;; Машинная;1в/3;Чкаловская;Clever park
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/316003618/;Екатеринбург;sale;flat;11;26;4;94.8;11000000;Кировский; Владимира Высоцкого;7А;Площадь 1905 года;Квартал-парк Каменные Палатки
Диал;real_estate_agent;https://ekb.cian.ru/sale/flat/296237395/;Екатеринбург;sale;flat;2;3;4;84.4;3150000;Чкаловский; Широкая Речка;7;Ботаническая;
Первостроитель;developer;https://ekb.cian.ru/sale/flat/272590591/;Екатеринбург;sale;flat;13;25;4;123.4;25921000;Кировский; Мира;47;Геологическая;Проспект Мира. Компаунд
Green Garden;real_estate_agent;https://ekb.cian.ru/sale/flat/313686501/;Екатеринбург;sale;flat;10;11;4;144.4;22000000;Верх-Исетский; Гурзуфская;16;Геологическая;
f.center;real_estate_agent;https://ekb.cian.ru/sale/flat/315127509/;Екатеринбург;sale;flat;9;13;4;132.0;16200000;Центр; Народной Воли;25;Геологическая;
BAZA Development;representative_developer;https://ekb.cian.ru/sale/flat/315488223/;Екатеринбург;sale;flat;12;29;4;106.91;18399211;; Шаумяна;11;Чкаловская;Дом 
ID 129767316;realtor;https://ekb.cian.ru/sale/flat/316047851/;Екатеринбург;sale;flat;3;6;4;73.0;12500000;Верх-Исетский; Гурзуфская;5;;
Ориентир. Недвижимость;real_estate_agent;https://ekb.cian.ru/sale/flat/293288126/;Екатеринбург;sale;flat;4;5;4;76.9;6950000;Кировский; Александровская;4;Машиностроителей;
Унистрой;developer;https://ekb.cian.ru/sale/flat/301023127/;Екатеринбург;sale;flat;25;27;4;125.8;21818000;Верх-Исетский;;;Площадь 1905 года;Риверсайд ЖК
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/307735730/;Екатеринбург;sale;flat;27;27;4;200.0;19990000;Кировский; Владимира Высоцкого;18Д;Площадь 1905 года;
КВИКО;real_estate_agent;https://ekb.cian.ru/sale/flat/316026841/;Екатеринбург;sale;flat;9;9;4;63.2;5750000;Ленинский; Громова;144;Чкаловская;
Практика;developer;https://ekb.cian.ru/sale/flat/313061156/;Екатеринбург;sale;flat;17;21;4;69.86;9308018;Орджоникидзевский; Шефская;42;Проспект Космонавтов;На Шефской
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/314610111/;Екатеринбург;sale;flat;9;9;4;168.5;59900000;Железнодорожный; Печерская;4;Динамо;Квартал На Некрасова
Этажи Екатеринбург;real_estate_agent;https://ekb.cian.ru/sale/flat/316124764/;Екатеринбург;sale;flat;6;13;4;99.5;19000000;; Щорса;109;Чкаловская;
Atlas Development;developer;https://ekb.cian.ru/sale/flat/302118597/;Екатеринбург;sale;flat;20;20;4;149.7;30428143;; Айвазовского;52;Чкаловская;Парк Столиц
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/299744935/;Екатеринбург;sale;flat;12;25;4;183.1;46000000;Центр; Шейнкмана;119;Геологическая;
ID 13921739;realtor;https://ekb.cian.ru/sale/flat/300498242/;Екатеринбург;sale;flat;1;12;4;72.0;5980000;Орджоникидзевский; Кузнецова;6;Уралмаш;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313518135/;Екатеринбург;sale;flat;2;23;4;81.9;11210400;Кировский;;;Машиностроителей;Основинские кварталы ЖК
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/313661542/;Екатеринбург;sale;flat;7;28;4;144.15;72500000;Центр;набережная Олимпийская;9/1;Динамо;
ID 92864292;homeowner;https://ekb.cian.ru/sale/flat/316029166/;Екатеринбург;sale;flat;3;5;4;72.6;9500000;Кировский; Смазчиков;6;Уральская;
Форум-групп;developer;https://ekb.cian.ru/sale/flat/312534899/;Екатеринбург;sale;flat;16;29;4;96.9;22039433;Центр;Центральный жилрайон;;Площадь 1905 года;Форма ЖК
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/313545928/;Екатеринбург;sale;flat;10;10;4;241.0;39900000;Железнодорожный; Печерская;4;Динамо;Квартал На Некрасова
ID 93671612;realtor;https://ekb.cian.ru/sale/flat/316031513/;Екатеринбург;sale;flat;8;14;4;81.0;9900000;Верх-Исетский; Викулова;48;Геологическая;
Практика;developer;https://ekb.cian.ru/sale/flat/313061872/;Екатеринбург;sale;flat;16;23;4;64.3;9910559;Орджоникидзевский; Красных Командиров;3;Проспект Космонавтов;Квартал К3
ЛИНК;real_estate_agent;https://ekb.cian.ru/sale/flat/314717791/;Екатеринбург;sale;flat;2;5;4;94.0;8700000;Орджоникидзевский; Культуры;15;Уралмаш;
ID 117910855;homeowner;https://ekb.cian.ru/sale/flat/303457252/;Екатеринбург;sale;flat;4;9;4;81.2;10900000;Центр; Энгельса;11;Площадь 1905 года;
TETRIS Group;developer;https://ekb.cian.ru/sale/flat/313992077/;Екатеринбург;sale;flat;18;32;4;89.12;10999191;Орджоникидзевский;;;Проспект Космонавтов;Квартал Моменты на Космонавтов
Евгений Никулин;realtor;https://ekb.cian.ru/sale/flat/316060074/;Екатеринбург;sale;flat;15;15;4;173.0;65000000;Центр; Радищева;24;Геологическая;Форум Сити
ID 89545656;homeowner;https://ekb.cian.ru/sale/flat/300638805/;Екатеринбург;sale;flat;8;10;4;78.6;6300000;Чкаловский; Рощинская;48;Ботаническая;
Практика;developer;https://ekb.cian.ru/sale/flat/313061629/;Екатеринбург;sale;flat;3;25;4;91.45;13991850;Ленинский; Громова;26;Чкаловская;Дом на Ясной
РЕПУТАЦИЯ;real_estate_agent;https://ekb.cian.ru/sale/flat/302016652/;Екатеринбург;sale;flat;3;10;4;107.0;10500000;Железнодорожный; Надеждинская;20;Уральская;
ID 93671612;realtor;https://ekb.cian.ru/sale/flat/316085958/;Екатеринбург;sale;flat;7;10;4;79.4;9600000;Чкаловский; Академика Шварца;6к2;Ботаническая;
ID 129347738;developer;https://ekb.cian.ru/sale/flat/315552781/;Екатеринбург;sale;flat;4;8;4;93.5;11069622;Чкаловский;;;Ботаническая;Жилой район Солнечный
Екатеринбургская служба Недвижимости и оценки;real_estate_agent;https://ekb.cian.ru/sale/flat/305570264/;Екатеринбург;sale;flat;2;5;4;76.7;4690000;Железнодорожный; Билимбаевская;32;Уралмаш;
Ярмарка;real_estate_agent;https://ekb.cian.ru/sale/flat/313172714/;Екатеринбург;sale;flat;2;5;4;58.2;3980000;Железнодорожный; Минометчиков;26;Уральская;
