author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Стадион Спартак;developer;https://www.cian.ru/sale/flat/309287232/;Москва;sale;flat;9;22;4;142.9;106503370;Покровское-Стрешнево;;;Спартак;Клубный Город на Реке Примавера ЖК
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Москва-Сити;
VESPER;developer;https://www.cian.ru/sale/flat/306541543/;Москва;sale;flat;18;21;4;234.3;390424228;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/314008663/;Москва;sale;flat;2;6;4;146.0;146000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Пионер;developer;https://www.cian.ru/sale/flat/314019005/;Москва;sale;flat;17;18;4;110.5;;Донской;м. Ленинский проспект;;Ленинский проспект;Шифт ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679851/;Москва;sale;flat;9;20;4;89.51;38474262;Даниловский;;;Тульская;Форст ЖК
ANT Development;developer;https://www.cian.ru/sale/flat/314894291/;Москва;sale;flat;3;13;4;149.0;327800000;Дорогомилово;;3к4;Парк Победы;Виктори Парк Резиденсез ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/313914715/;Москва;sale;flat;20;41;4;164.7;102500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Tekta Group;developer;https://www.cian.ru/sale/flat/313048041/;Москва;sale;flat;10;27;4;86.9;43571665;Даниловский;;1;Крестьянская застава;Эра ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/313914714/;Москва;sale;flat;20;41;4;176.6;109500000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/306685259/;Москва;sale;flat;2;22;4;149.2;154340000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309320290/;Москва;sale;flat;6;10;4;219.0;125000000;Пресненский; Красная Пресня;7;Краснопресненская;
Sminex;developer;https://www.cian.ru/sale/flat/315384979/;Москва;sale;flat;5;9;4;150.4;208270000;Пресненский;;;Белорусская;Тишинский Бульвар ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301409139/;Москва;sale;flat;7;14;4;96.2;60000000;Раменки;проспект Генерала Дорохова;39к2Г;Минская;Собрание клубных домов West Garden
Компания PIONEER;developer;https://www.cian.ru/sale/flat/313114632/;Москва;sale;flat;3;11;4;152.1;;Даниловский;Дербеневская ;1С5;Павелецкая;"Клубный дом ""OPUS"""
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308074258/;Москва;sale;flat;4;14;4;95.3;65000000;Раменки;проспект Генерала Дорохова;39к1Г;Поклонная;Собрание клубных домов West Garden
Главстрой;developer;https://www.cian.ru/sale/flat/296921048/;Москва;sale;flat;2;26;4;125.7;67208270;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/312637549/;Москва;sale;flat;7;14;4;91.43;66000000;Раменки;проспект Генерала Дорохова;39к2М;Минская;Собрание клубных домов West Garden
Capital Group;developer;https://www.cian.ru/sale/flat/313277833/;Москва;sale;flat;14;18;4;154.0;180000000;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307839365/;Москва;sale;flat;2;14;4;130.4;80000000;Раменки;проспект Генерала Дорохова;39к1Г;Поклонная;Собрание клубных домов West Garden
VESPER;developer;https://www.cian.ru/sale/flat/313037687/;Москва;sale;flat;2;4;4;405.5;1297600000;Пресненский;Патриаршие Пруды мкр;;Пушкинская;Клубный дом Левенсон
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/311998553/;Москва;sale;flat;5;12;4;211.0;250000000;Раменки; Сергея Бондарчука;6;Мичуринский проспект;Река
Пионер;developer;https://www.cian.ru/sale/flat/314756690/;Москва;sale;flat;4;47;4;120.3;;Даниловский;;;Павелецкая;Хай Лайф ЖК
