author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Форум-групп;developer;https://ekb.cian.ru/sale/flat/306151208/;Екатеринбург;sale;flat;25;29;5;128.0;34024538;Центр;Центральный жилрайон;;Площадь 1905 года;Форма ЖК
РЕПУТАЦИЯ;real_estate_agent;https://ekb.cian.ru/sale/flat/304987190/;Екатеринбург;sale;flat;2;10;5;164.0;13300000;Орджоникидзевский;переулок Замятина;28;Проспект Космонавтов;
PR FLAT;real_estate_agent;https://ekb.cian.ru/sale/flat/315286042/;Екатеринбург;sale;flat;10;10;5;132.6;16100790;Центр; Шейнкмана;110;Геологическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/313517303/;Екатеринбург;sale;flat;11;16;5;159.7;69135000;Центр; Февральской Революции;21;Динамо;19/05
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/314597466/;Екатеринбург;sale;flat;21;23;5;162.4;64960000;Октябрьский; Тверитина;46;Геологическая;
ID 96367144;homeowner;https://ekb.cian.ru/sale/flat/310344610/;Екатеринбург;sale;flat;2;10;5;158.4;118800000;Центр; Горького;36;Геологическая;
АТОМ;developer;https://ekb.cian.ru/sale/flat/305576151/;Екатеринбург;sale;flat;26;26;5;109.7;22050000;Кировский; Гагарина;9;Динамо;DISCOVERY RESIDENCE
Кулиговская и Партнёры;real_estate_agent;https://ekb.cian.ru/sale/flat/312952992/;Екатеринбург;sale;flat;19;25;5;171.0;44000000;Центр; Шейнкмана;119;Геологическая;
ID 113274364;homeowner;https://ekb.cian.ru/sale/flat/316126109/;Екатеринбург;sale;flat;12;17;5;140.0;17000000;Верх-Исетский; Викулова;61к1;Геологическая;
Практика;developer;https://ekb.cian.ru/sale/flat/313062396/;Екатеринбург;sale;flat;30;30;5;159.5;24241150;Орджоникидзевский;;;Проспект Космонавтов;Настоящий ЖК
Иван Петров;realtor;https://ekb.cian.ru/sale/flat/309058412/;Екатеринбург;sale;flat;19;19;5;180.0;90000000;Центр; Радищева;24;Геологическая;Форум Сити
