author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Алькор;developer;https://spb.cian.ru/sale/flat/315649997/;Санкт-Петербург;sale;flat;2;4;3;74.37;17149722;Кронштадтский;дорога Цитадельская;;Беговая;Кронфорт.Центральный
ID 96355318;homeowner;https://spb.cian.ru/sale/flat/315678592/;Санкт-Петербург;sale;flat;7;8;3;97.5;68500000;Петроградский;Петровский проспект;28к2;Крестовский остров;Grand View
Bonava;developer;https://spb.cian.ru/sale/flat/313866085/;Санкт-Петербург;sale;flat;2;14;3;90.2;39195868;Красногвардейский;Магнитогорская ;;Новочеркасская;Magnifika Residence
ID 80865748;unknown;https://spb.cian.ru/sale/flat/308251809/;Санкт-Петербург;sale;flat;6;6;3;106.3;53150000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/284740273/;Санкт-Петербург;sale;flat;5;7;3;93.6;37440000;Петроградский;набережная Реки Карповки;31к2;Чкаловская;Северная Корона
М16 Элит;real_estate_agent;https://spb.cian.ru/sale/flat/312983939/;Санкт-Петербург;sale;flat;3;5;3;94.7;41600000;Петроградский;Аптекарский проспект;18;Петроградская;Skandi Klubb
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/315984958/;Санкт-Петербург;sale;flat;3;17;3;54.67;16324462;Василеостровский;Морской;;Приморская;Новая Земля ЖК
ID 103362994;homeowner;https://spb.cian.ru/sale/flat/315713704/;Санкт-Петербург;sale;flat;2;11;3;98.5;41900000;Выборгский; Александра Матросова;1;Лесная;Притяжение
Fizika Development;developer;https://spb.cian.ru/sale/flat/310724873/;Санкт-Петербург;sale;flat;3;10;3;85.8;60918000;Центральный; Моисеенко;10;Площадь Восстания;Моисеенко 10
Вам к нам;real_estate_agent;https://spb.cian.ru/sale/flat/312924403/;Санкт-Петербург;sale;flat;22;24;3;116.5;40000000;Московский;Московский проспект;;Московская;Граф Орлов
Арсенал-Недвижимость;developer;https://spb.cian.ru/sale/flat/314825419/;Санкт-Петербург;sale;flat;9;12;3;83.74;21848604;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;Modum
Вам к нам;real_estate_agent;https://spb.cian.ru/sale/flat/314362387/;Санкт-Петербург;sale;flat;2;9;3;63.6;8300000;Красносельский;Петергофское шоссе;19/33;Ленинский проспект;
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/315616801/;Санкт-Петербург;sale;flat;2;9;3;133.0;45885000;Красногвардейский; Стахановцев;1;Новочеркасская;Малоохтинский, 68
SPB Housing;real_estate_agent;https://spb.cian.ru/sale/flat/304253105/;Санкт-Петербург;sale;flat;3;7;3;120.4;69419960;Петроградский;Морской проспект;33;Крестовский остров;Морской 33
LAR Development;developer;https://spb.cian.ru/sale/flat/311782775/;Санкт-Петербург;sale;flat;3;4;3;90.61;37603150;Курортный;;;;Ранта Резиденс
ID 96716075;homeowner;https://spb.cian.ru/sale/flat/309746117/;Санкт-Петербург;sale;flat;17;25;3;103.8;27300000;Выборгский; Композиторов;18;Проспект Просвещения;Pragma-House
Отделстрой;developer;https://spb.cian.ru/sale/flat/302228199/;Санкт-Петербург;sale;flat;8;12;3;98.04;28025000;Выборгский;Большой Сампсониевский проспект;70к3;Выборгская;Новый Лесснер
8 ЭТАЖ;real_estate_agent;https://spb.cian.ru/sale/flat/311256250/;Санкт-Петербург;sale;flat;17;23;3;79.7;14500000;Невский; Русановская;17к2;Ломоносовская;Ласточкино гнездо
RBI;developer;https://spb.cian.ru/sale/flat/313301980/;Санкт-Петербург;sale;flat;2;9;3;93.5;41000000;Центральный;Лиговка-Ямская;;Площадь Восстания;Миръ
ID 54088053;homeowner;https://spb.cian.ru/sale/flat/309247559/;Санкт-Петербург;sale;flat;5;15;3;84.6;21600000;Выборгский;проспект Энгельса;93;Удельная;Живой Родник
