author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Красная Стрела;developer;https://spb.cian.ru/sale/flat/314943261/;Санкт-Петербург;sale;flat;3;9;1;28.26;12829434;Василеостровский;7-я Васильевского острова линия;84;Василеостровская;Регенбоген
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/308703738/;Санкт-Петербург;sale;flat;10;17;1;46.0;9150000;Приморский;Планерная ;73К4;Комендантский проспект;
Балтийская жемчужина;developer;https://spb.cian.ru/sale/flat/310812557/;Санкт-Петербург;sale;flat;6;8;1;57.3;16387700;Красносельский;проспект Патриотов;35;Проспект Ветеранов;Lotos Сlub
ID 42474438;unknown;https://spb.cian.ru/sale/flat/272434419/;Санкт-Петербург;sale;flat;3;4;1;57.4;9800000;Пушкинский;Гусарская ;9к6;Купчино;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/313072973/;Санкт-Петербург;sale;flat;4;7;1;95.3;119125000;Центральный;набережная Воскресенская;32;Площадь Ленина;Приоритет
ID 119378080;realtor;https://spb.cian.ru/sale/flat/315453955/;Санкт-Петербург;sale;flat;5;12;1;41.5;12500000;Выборгский;проспект Энгельса;29;Удельная;ID Svetlanovskiy
LEGENDA Development;developer;https://spb.cian.ru/sale/flat/315371988/;Санкт-Петербург;sale;flat;9;9;1;43.69;28332965;Василеостровский;20-я Васильевского острова линия;19;Спортивная;Большой, 67
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/315816845/;Санкт-Петербург;sale;flat;5;9;1;43.62;17800000;Приморский;набережная Черной речки;35;Черная речка;Черная речка, 41
RBI;developer;https://spb.cian.ru/sale/flat/310581215/;Санкт-Петербург;sale;flat;6;23;1;36.1;10547554;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
Виталий Мартыш;realtor;https://spb.cian.ru/sale/flat/315944475/;Санкт-Петербург;sale;flat;1;5;1;28.0;3900000;Колпинский;Центральная ;19;Рыбацкое;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242319/;Санкт-Петербург;sale;flat;7;8;1;42.5;30765814;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
Сергей Катран;realtor;https://spb.cian.ru/sale/flat/315478735/;Санкт-Петербург;sale;flat;10;15;1;41.4;7390000;Невский;Дальневосточный проспект;8к1;Проспект Большевиков;
АМ;developer;https://spb.cian.ru/sale/flat/307268554/;Санкт-Петербург;sale;flat;6;10;1;40.9;19867584;Центральный;Херсонский проезд;6;Площадь Александра Невского;Апартаменты VIDI
KARTES;real_estate_agent;https://spb.cian.ru/sale/flat/312150361/;Санкт-Петербург;sale;flat;7;18;1;32.9;8250000;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
City Solutions;developer;https://spb.cian.ru/sale/flat/312705049/;Санкт-Петербург;sale;flat;5;10;1;35.06;14396096;Приморский;набережная Черной речки;1;Черная речка;Министр
ID 60986875;homeowner;https://spb.cian.ru/sale/flat/315867010/;Санкт-Петербург;sale;flat;2;4;1;45.0;9000000;Пушкинский; Анциферовская;14к1;Купчино;Александровский
МИДОМ;real_estate_agent;https://spb.cian.ru/sale/flat/310930546/;Санкт-Петербург;sale;flat;4;5;1;24.0;5950000;Василеостровский;Гаванская ;47;Приморская;
Мегалит–Охта Групп;developer;https://spb.cian.ru/sale/flat/309833982/;Санкт-Петербург;sale;flat;2;16;1;39.1;11138762;Приморский;Коломяжский проспект;13к3;Пионерская;Приморский квартал
Мир Квартир PREMIUM;real_estate_agent;https://spb.cian.ru/sale/flat/303766844/;Санкт-Петербург;sale;flat;2;11;1;43.3;7200000;Пушкинский; Архитектора Данини;5;Купчино;Самое сердце
ID 94885532;homeowner;https://spb.cian.ru/sale/flat/315886941/;Санкт-Петербург;sale;flat;2;9;1;30.8;4690000;Красногвардейский;шоссе Революции;45;Ладожская;
ID 74889694;homeowner;https://spb.cian.ru/sale/flat/315530762/;Санкт-Петербург;sale;flat;5;5;1;30.4;3850000;Красносельский;Нарвская ;8к1;Проспект Ветеранов;
КВС;developer;https://spb.cian.ru/sale/flat/294621859/;Санкт-Петербург;sale;flat;13;17;1;35.49;10992032;Калининский;Финляндский;;;Квартал бизнес-класса Б15
ID 93746912;unknown;https://spb.cian.ru/sale/flat/316093475/;Санкт-Петербург;sale;flat;4;9;1;32.0;6500000;Выборгский;проспект Просвещения;14К3;Проспект Просвещения;
ID 89502826;homeowner;https://spb.cian.ru/sale/flat/315908915/;Санкт-Петербург;sale;flat;7;14;1;40.1;16800000;Василеостровский;набережная Миклухо-Маклая;1к1;Приморская;Морская набережная. SeaView
Диалог;real_estate_agent;https://spb.cian.ru/sale/flat/315931006/;Санкт-Петербург;sale;flat;16;16;1;45.0;8500000;Приморский;Новоколомяжский проспект;11;Удельная;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/315056880/;Санкт-Петербург;sale;flat;2;21;1;32.0;8825600;Невский;Товарищеский проспект;38Б;Улица Дыбенко;Дыбенко Парк
ЛенКвартирТорг;real_estate_agent;https://spb.cian.ru/sale/flat/313752085/;Санкт-Петербург;sale;flat;2;25;1;42.9;9800000;Выборгский;проспект Энгельса;93;Удельная;Живой Родник
ID 115585021;homeowner;https://spb.cian.ru/sale/flat/313126750/;Санкт-Петербург;sale;flat;1;9;1;30.0;5300000;Выборгский;проспект Луначарского;62К2;Проспект Просвещения;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/315765667/;Санкт-Петербург;sale;flat;4;10;1;33.9;13271850;Выборгский;Манчестерская ;5к1;Удельная;Svetlana Park
АНТАРЕС трейд;real_estate_agent;https://spb.cian.ru/sale/flat/315756589/;Санкт-Петербург;sale;flat;17;18;1;49.5;9500000;Красносельский; Маршала Казакова;58;Ленинский проспект;Балтийская волна
ID 45802098;homeowner;https://spb.cian.ru/sale/flat/313754574/;Санкт-Петербург;sale;flat;3;9;1;33.7;6400000;Невский;Караваевская ;38;Рыбацкое;
