author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
GloraX;developer;https://spb.cian.ru/sale/flat/309036723/;Санкт-Петербург;sale;flat;18;18;5;147.0;52689999;Василеостровский;проспект Крузенштерна;13;;GloraX Василеостровский
Татьяна Чапурина;realtor;https://spb.cian.ru/sale/flat/315020493/;Санкт-Петербург;sale;flat;7;14;5;313.0;149000000;Центральный;набережная Воскресенская;4;Чернышевская;
Richness Realty;real_estate_agent;https://spb.cian.ru/sale/flat/308578040/;Санкт-Петербург;sale;flat;9;9;5;331.0;2200000000;Центральный;Тверская ;6;Чернышевская;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312287750/;Санкт-Петербург;sale;flat;9;9;5;164.4;77777640;Петроградский;Петровский проспект;11к2;Крестовский остров;Neva Haus
М16 Элит;real_estate_agent;https://spb.cian.ru/sale/flat/298296466/;Санкт-Петербург;sale;flat;4;5;5;321.0;155000000;Адмиралтейский;Адмиралтейская набережная;12-14;Адмиралтейская;
Марина Рябова;realtor;https://spb.cian.ru/sale/flat/316065712/;Санкт-Петербург;sale;flat;1;5;5;66.6;6900000;Кировский;бульвар Новаторов;58;Ленинский проспект;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242697/;Санкт-Петербург;sale;flat;5;8;5;205.89;133472310;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
Ритм Эстейт;real_estate_agent;https://spb.cian.ru/sale/flat/307694167/;Санкт-Петербург;sale;flat;2;6;5;228.0;120000000;Петроградский;Каменноостровский проспект;73-75;Петроградская;
Лабецкий Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/309614691/;Санкт-Петербург;sale;flat;5;5;5;110.6;15400000;Центральный;5-я Советская ;11-13;Площадь Восстания;
Группа Эталон;developer;https://spb.cian.ru/sale/flat/315536637/;Санкт-Петербург;sale;flat;7;8;5;173.7;186735591;Петроградский; Профессора Попова;;Чкаловская;ЛДМ
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/300693101/;Санкт-Петербург;sale;flat;6;6;5;360.0;380000000;Петроградский;Крестовский проспект;12;Крестовский остров;Крестовский 12
ID 55803464;homeowner;https://spb.cian.ru/sale/flat/316154657/;Санкт-Петербург;sale;flat;3;6;5;137.0;28500000;Центральный; Радищева;29;Площадь Восстания;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242649/;Санкт-Петербург;sale;flat;3;8;5;204.67;111673529;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/311815317/;Санкт-Петербург;sale;flat;6;6;5;352.7;380000000;Петроградский;Крестовский проспект;12;Крестовский остров;Крестовский 12
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/313600814/;Санкт-Петербург;sale;flat;5;6;5;111.6;29600000;Центральный;4-я Советская ;37;Площадь Восстания;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242656/;Санкт-Петербург;sale;flat;7;8;5;168.62;119331489;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/306610019/;Санкт-Петербург;sale;flat;6;7;5;173.0;149000000;Петроградский;Крестовский проспект;26;Крестовский остров;
ID 13745259;realtor;https://spb.cian.ru/sale/flat/316074445/;Санкт-Петербург;sale;flat;1;5;5;60.0;6700000;Московский; Костюшко;42;Московская;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242715/;Санкт-Петербург;sale;flat;7;8;5;188.38;158757433;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/310944714/;Санкт-Петербург;sale;flat;2;5;5;347.7;336000000;Петроградский;проспект Динамо;4;Крестовский остров;
ID 90962062;realtor;https://spb.cian.ru/sale/flat/306661122/;Санкт-Петербург;sale;flat;2;5;5;135.0;31800000;Центральный;Гороховая ;46;Сенная площадь;
Master-Group Real Estate;representative_developer;https://spb.cian.ru/sale/flat/315242690/;Санкт-Петербург;sale;flat;7;8;5;183.49;129854910;Петроградский;набережная Реки Карповки;27;Петроградская;Клубный дом MELTZER HALL
BEYOND. ex-Engel Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/289732338/;Санкт-Петербург;sale;flat;7;7;5;363.0;299000000;Петроградский;Динамовская ;2;Крестовский остров;
Мир Квартир PREMIUM;real_estate_agent;https://spb.cian.ru/sale/flat/315545888/;Санкт-Петербург;sale;flat;3;5;5;104.4;21900000;Петроградский;Петроградская набережная;26-28Ч;Горьковская;
