author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/315367108/;Москва;sale;flat;5;7;3;205.5;637050000;Тверской;Никольская ;8;Площадь Революции;Nicole
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679485/;Москва;sale;flat;8;20;3;90.8;35946863;Даниловский;Автозаводская ;26;Тульская;FORST
ID 106519864;homeowner;https://www.cian.ru/sale/flat/315139862/;Москва;sale;flat;4;8;3;75.1;47500000;Таганский;Подколокольный переулок;16/2С1;Китай-город;
MR Group;developer;https://www.cian.ru/sale/flat/309402481/;Москва;sale;flat;4;17;3;83.33;37540165;Алексеевский;;;Улица Сергея Эйзенштейна;Мира ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/315973059/;Москва;sale;flat;11;13;3;149.2;280000000;Хамовники; Усачева;11Б;Спортивная;Садовые кварталы
ID 76939319;homeowner;https://www.cian.ru/sale/flat/316047663/;Москва;sale;flat;5;8;3;68.3;44900000;Раменки;Университетский проспект;23К2;Ломоносовский проспект;
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;204207718;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Downtown Estate;real_estate_agent;https://www.cian.ru/sale/flat/316063591/;Москва;sale;flat;27;41;3;79.0;74000000;Раменки;1-й Сетуньский проезд;8;Кутузовская;Hide
Свои квадраты;real_estate_agent;https://www.cian.ru/sale/flat/311778072/;Москва;sale;flat;3;3;3;87.0;13500000;; Центральная;35;Крёкшино;
MR Group;developer;https://www.cian.ru/sale/flat/306612098/;Москва;sale;flat;2;46;3;75.7;;Можайский;;;Давыдково;Веер ЖК
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/312710345/;Москва;sale;flat;4;6;3;160.0;240000000;Пресненский;Большой Гнездниковский переулок;3;Тверская;Респект
Beri;real_estate_agent;https://www.cian.ru/sale/flat/314604994/;Москва;sale;flat;7;9;3;80.1;73500000;Тверской;Тверская ;15;Тверская;
Главстрой;developer;https://www.cian.ru/sale/flat/296921134/;Москва;sale;flat;6;26;3;101.8;47971824;Филевский парк;Береговой проезд;2;Фили;Береговой-2
